Cromwell,47.2743,-122.6224,,0,0
Berrydale,47.3398,-122.1279,,0,0
Wenatchee,47.4338,-120.3285,71512,0,71512
Urban,48.6179,-122.6921,,0,0
Maplewood,47.3715,-122.5689,,0,0
Marys Corner,46.5471,-122.8226,,0,0
Mattawa,46.7364,-119.9019,5122,0,5122
Cove,47.452,-122.5079,,0,0
Chico,47.6234,-122.7198,,0,0
Maple Falls,48.9135,-122.1049,,0,0
Colvos,47.4762,-122.4907,,0,0
Ames Lake,47.6346,-121.9664,,0,0
Ellisforde,48.7899,-119.4012,,0,0
Selah,46.6482,-120.5389,7859,0,7859
Pine Lake,47.5787,-122.0462,,0,0
Tampico,46.5325,-120.8727,,0,0
Colton,46.5675,-117.1285,467,0,467
Usk,48.3138,-117.2797,,0,0
Cle Elum,47.1946,-120.9553,3768,0,3768
Omak,48.4227,-119.5159,8130,0,8130
Eureka,46.3032,-118.6167,,0,0
Harrington,47.4802,-118.2553,411,0,411
Sedro-Woolley,48.5113,-122.232,11838,0,11838
Cherry Grove,45.8021,-122.5764,,0,0
La Push,47.9087,-124.6366,,0,0
Lake Ketchum,48.282,-122.348,,0,0
Arletta,47.2901,-122.6676,,0,0
Opportunity,47.6574,-117.2399,,0,0
Glenoma,46.5146,-122.1601,,0,0
Curlew,48.8777,-118.6045,,0,0
Hartline,47.6894,-119.1081,154,0,154
Midland,47.1734,-122.412,,0,0
Adna,46.629,-123.0612,,0,0
Roslyn,47.2507,-121.0987,947,0,947
Deer Park,47.9642,-117.4397,3868,0,3868
Tracyton,47.6095,-122.6533,,0,0
Hunts Point,47.642,-122.229,434,0,434
Koontzville,48.0157,-118.9472,,0,0
Fruitland,48.071,-118.1989,,0,0
Chewelah,48.2929,-117.7336,2637,0,2637
Mohler,47.4049,-118.3291,,0,0
East Renton Highlands,47.4718,-122.0854,,0,0
Sunnyside,46.3159,-120.0058,17927,0,17927
Long Lake,47.836,-117.8488,,0,0
Wauna,47.3861,-122.6693,,0,0
Liberty,47.2537,-120.6654,,0,0
Normandy Park,47.4344,-122.3436,6649,0,6649
Mirrormont,47.4616,-121.9936,,0,0
Parkwood,47.5265,-122.5986,,0,0
Jamestown,48.1229,-123.0911,,0,0
Forks,47.9526,-124.3904,4274,0,4274
Wallula,46.0847,-118.9056,,0,0
Nighthawk,48.9665,-119.642,,0,0
SeaTac,47.4445,-122.2986,29140,0,29140
Royal City,46.9,-119.6142,2205,0,2205
Beaux Arts Village,47.5854,-122.2009,326,0,326
Steilacoom,47.17,-122.5935,6337,0,6337
Northport,48.9159,-117.7796,296,0,296
Eldon,47.5454,-123.046,,0,0
Ridgefield,45.8116,-122.7052,7117,0,7117
Ryderwood,46.3749,-123.0441,,0,0
Manchester,47.5519,-122.5517,,0,0
Vashon Heights,47.5057,-122.4654,,0,0
Salmon Creek,45.7099,-122.6632,,0,0
Vantage,46.9453,-119.9923,,0,0
Creston,47.7596,-118.5201,226,0,226
Soap Lake,47.3914,-119.4892,1579,0,1579
Silver Firs,47.8635,-122.1497,,0,0
Plaza,47.3202,-117.3838,,0,0
Machias,47.9917,-122.0515,,0,0
Neah Bay,48.3612,-124.6115,,0,0
Malo,48.7998,-118.6119,,0,0
Clyde Hill,47.6303,-122.218,3318,0,3318
Marlin,47.4074,-118.985,,0,0
North Yelm,46.9647,-122.6028,,0,0
Grand Coulee,47.9391,-119.0031,1042,0,1042
Outlook,46.3311,-120.0923,,0,0
Clinton,47.9731,-122.3577,,0,0
Evans,48.7135,-118.0253,,0,0
